QUEEN,Ryan,6.0,1.65
SPEED,Mitch,6.0,1.35
FLEX,Dan,6.0,1.125
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Charles,5.0,0.625
,,31.0,6.25

QUEEN,Chaz,7.0,1.925
SPEED,Coki,4.0,0.9
FLEX,Steve,9.0,1.688
,,,
OBJECTIVE,Sam,9.0,1.125
,,29.0,5.638

QUEEN,Matt,7.0,1.925
SPEED,Josh,9.0,2.025
FLEX,Keoni,4.0,0.75
,,,
OBJECTIVE,Felix,7.0,0.875
,,27.0,5.575

QUEEN,Jess,7.5,2.062
SPEED,Scott,7.0,1.575
FLEX,Turese,3.5,0.656
FLEX,Heather,5.0,0.938
OBJECTIVE,Eva,1.0,0.125
,,24.0,5.356

QUEEN,Drew,6.0,1.65
SPEED,Blee,8.0,1.8
FLEX,Mo,3.0,0.562
FLEX,Brian M,7.0,1.312
OBJECTIVE,Jasmine,8.0,1.0
,,32.0,6.324

