QUEEN,Ryan,6.0,1.65
SPEED,Mitch,6.0,1.35
FLEX,Blee,8.0,1.5
,,,
OBJECTIVE,Charles,5.0,0.625
,,25.0,5.125

QUEEN,Jess,7.5,2.062
SPEED,Scott,7.0,1.575
FLEX,Turese,3.5,0.656
FLEX,Brian M,7.0,1.312
OBJECTIVE,Eva,1.0,0.125
,,26.0,5.73

QUEEN,Drew,6.0,1.65
SPEED,Blue Chris,8.0,1.8
FLEX,Dan,6.0,1.125
,,,
OBJECTIVE,Felix,7.0,0.875
,,27.0,5.45

QUEEN,Chaz,7.0,1.925
SPEED,Steve,8.0,1.8
FLEX,Mo,3.0,0.562
FLEX,Heather,5.0,0.938
OBJECTIVE,Jasmine,8.0,1.0
,,31.0,6.225

QUEEN,Matt,7.0,1.925
SPEED,Josh,9.0,2.025
FLEX,Keoni,4.0,0.75
FLEX,Coki,3.5,0.656
OBJECTIVE,Sam,9.0,1.125
,,32.5,6.481

