QUEEN,Dan,7.0,1.925
SPEED,Soren,9.0,2.025
FLEX,Rebecca,3.0,0.562
FLEX,Jeff,5.0,0.938
OBJECTIVE,Rachel,6.0,0.75
,,30.0,6.2

QUEEN,Josh,9.0,2.475
SPEED,Elyse,8.0,1.8
FLEX,Mo,3.0,0.562
FLEX,Keoni,3.0,0.562
OBJECTIVE,Jasmine,8.0,1.0
,,31.0,6.399

QUEEN,Jess,7.0,1.925
SPEED,Ian,7.0,1.575
FLEX,Steve,9.0,1.688
FLEX,Gino,7.0,1.312
OBJECTIVE,Bri,2.4,0.3
,,32.4,6.8

QUEEN,Rob,9.0,2.475
SPEED,McKenna,4.0,0.9
FLEX,Ryan,8.0,1.5
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Charles,4.5,0.562
,,33.5,6.937

QUEEN,Mitch,6.0,1.65
SPEED,Brian M,7.0,1.575
FLEX,Sam,7.0,1.312
FLEX,Matt,9.0,1.688
OBJECTIVE,Abby,6.0,0.75
,,35.0,6.975

