QUEEN,Dan,7.0,1.925
SPEED,Coppola,6.0,1.35
FLEX,Dylan Lee,6.5,1.219
FLEX,Charles,4.0,0.75
OBJECTIVE,Chris R,2.0,0.25
,,25.5,5.494

QUEEN,Ben,5.5,1.513
SPEED,Scott,7.0,1.575
FLEX,SamB,7.0,1.312
FLEX,Jeff,5.0,0.938
OBJECTIVE,MarkSF,1.0,0.125
,,25.5,5.463

QUEEN,Mitch,6.0,1.65
SPEED,Craig,7.0,1.575
FLEX,Jasmine,4.0,0.75
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Eva,1.0,0.125
,,26.0,5.6

QUEEN,Chaz,7.0,1.925
SPEED,Drew,6.0,1.35
FLEX,Ram,4.0,0.75
FLEX,Keoni,4.0,0.75
OBJECTIVE,ChrisK,7.0,0.875
,,28.0,5.65

QUEEN,Toshi,7.0,1.925
SPEED,Dee,6.8,1.53
FLEX,Mark,4.0,0.75
FLEX,Alex,3.0,0.562
OBJECTIVE,Blee,8.0,1.0
,,28.8,5.767

QUEEN,Jess,6.9,1.898
SPEED,Gino,7.0,1.575
FLEX,Tim,1.0,0.188
FLEX,Hell,9.0,1.688
OBJECTIVE,Abby,5.0,0.625
,,28.9,5.974

QUEEN,Elyse,6.0,1.65
SPEED,Brian M,7.0,1.575
FLEX,Microwave,4.0,0.75
FLEX,Ian,7.0,1.312
OBJECTIVE,Mo,5.0,0.625
,,29.0,5.912

QUEEN,Dan Phl,2.0,0.55
SPEED,Matt,9.0,2.025
FLEX,McKenna,4.0,0.75
FLEX,Dray,8.5,1.594
OBJECTIVE,Turese,6.0,0.75
,,29.5,5.669

QUEEN,Richard,4.0,1.1
SPEED,Soren,8.5,1.913
FLEX,Sam,7.0,1.312
FLEX,RichardNY,6.0,1.125
OBJECTIVE,Jessie,4.0,0.5
,,29.5,5.95

QUEEN,Joyce,3.0,0.825
SPEED,NickyD,9.0,2.025
FLEX,Mat,4.0,0.75
FLEX,Felix,7.0,1.312
OBJECTIVE,Steve,7.0,0.875
,,30.0,5.787

QUEEN,JeffSEA,5.0,1.375
SPEED,Wyatt,8.0,1.8
FLEX,Ryan,8.0,1.5
FLEX,Rachel,4.0,0.75
OBJECTIVE,Sean,5.0,0.625
,,30.0,6.05

