QUEEN,Dan,5.5,1.513
SPEED,Dray,8.5,1.913
FLEX,Turese,3.5,0.656
,,,
OBJECTIVE,Mo,5.0,0.625
,,22.5,4.707

QUEEN,Matt,7.0,1.925
SPEED,Blee,8.0,1.8
FLEX,Drew,6.0,1.125
,,,
OBJECTIVE,Coki,5.0,0.625
,,26.0,5.475

QUEEN,Chaz,5.0,1.375
SPEED,Josh,9.0,2.025
FLEX,Parker,2.0,0.375
FLEX,Noah,1.0,0.188
OBJECTIVE,Jasmine,8.0,1.0
,,25.0,4.963

QUEEN,MasterJoe,7.0,1.925
SPEED,Sam,6.0,1.35
FLEX,Jess,7.0,1.312
FLEX,Charles,4.0,0.75
OBJECTIVE,Eva,2.0,0.25
,,26.0,5.587

QUEEN,Mitch,7.0,1.925
SPEED,Blue Chris,8.0,1.8
FLEX,Mando,1.0,0.188
FLEX,Felix,7.0,1.312
OBJECTIVE,Chexx,2.0,0.25
,,25.0,5.475

