QUEEN,Joyce,3.0,0.825
SPEED,Matt,9.0,2.025
FLEX,Felix,7.0,1.312
FLEX,Drew,6.0,1.125
OBJECTIVE,Carla,1.0,0.125
,,26.0,5.412

QUEEN,Jess,6.5,1.788
SPEED,Ryan,8.0,1.8
FLEX,Eva,1.0,0.188
,,,
OBJECTIVE,Jasmine,8.5,1.062
,,24.0,4.838

QUEEN,Dr00,8.0,2.2
SPEED,Brian M,5.0,1.125
FLEX,Toshi,7.0,1.312
FLEX,Chexx,1.0,0.188
OBJECTIVE,Chris R,4.0,0.5
,,25.0,5.325

QUEEN,Blue Chris,6.0,1.65
SPEED,Blee,8.0,1.8
FLEX,Callie,4.0,0.75
FLEX,Alex,3.0,0.562
OBJECTIVE,Mike,4.0,0.5
,,25.0,5.262

QUEEN,Dray,6.5,1.788
SPEED,Sam,6.0,1.35
FLEX,Talyn,1.5,0.281
FLEX,Ian,7.0,1.312
OBJECTIVE,Rebecca,4.0,0.5
,,25.0,5.231

QUEEN,Chaz,5.0,1.375
SPEED,Steve,8.0,1.8
FLEX,Turese,3.5,0.656
FLEX,Kyle,4.0,0.75
OBJECTIVE,David,5.0,0.625
,,25.5,5.206

QUEEN,Mitch,5.5,1.513
SPEED,mel b,5.0,1.125
FLEX,Scott,7.5,1.406
FLEX,Chris B,3.0,0.562
OBJECTIVE,Rachel,5.0,0.625
,,26.0,5.231

QUEEN,Dan,6.0,1.65
SPEED,Keoni,3.0,0.675
FLEX,Charles,5.0,0.938
,,,
OBJECTIVE,Mo,5.0,0.625
,,19.0,3.888

