QUEEN,Mitch,5.5,1.513
SPEED,Felix,7.0,1.575
FLEX,Keoni,4.0,0.75
FLEX,Coki,4.0,0.75
OBJECTIVE,Bryce,3.0,0.375
,,23.5,4.963

QUEEN,Matt,7.0,1.925
SPEED,Drew,6.0,1.35
FLEX,Chris R,2.0,0.375
,,,
OBJECTIVE,Mike,4.0,0.5
,,19.0,4.15

QUEEN,Dan,6.0,1.65
SPEED,Steve,8.0,1.8
FLEX,Ryan A,3.0,0.562
FLEX,Heather,5.0,0.938
OBJECTIVE,Samira,1,0.125
,,23.0,5.075

QUEEN,Ryan,6.5,1.788
SPEED,Josh,9.0,2.025
FLEX,Rebecca,3.0,0.562
FLEX,Jasmine,4.0,0.75
OBJECTIVE,Jarobi,1,0.125
,,23.5,5.25

QUEEN,Dray,6.5,1.788
SPEED,Sam,6.0,1.35
FLEX,Turese,3.5,0.656
FLEX,Brian M,6.0,1.125
OBJECTIVE,Austin,1.0,0.125
,,23.0,5.044

QUEEN,Jess,6.5,1.788
SPEED,Blue Chris,8.0,1.8
FLEX,Mo,4.0,0.75
FLEX,David,2.0,0.375
OBJECTIVE,Charles,6.0,0.75
,,26.5,5.463

