QUEEN,Dan,7.0,1.925
SPEED,Gino,7.0,1.575
FLEX,Jeff,5.0,0.938
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Rachel,6.0,0.75
,,33.0,6.688

QUEEN,Josh,9.0,2.475
SPEED,Elyse,8.0,1.8
FLEX,McKenna,4.0,0.75
FLEX,Keoni,3.0,0.562
OBJECTIVE,Jasmine,8.0,1.0
,,32.0,6.587

QUEEN,Rob,9.0,2.475
SPEED,Ian,7.0,1.575
FLEX,Steve,9.0,1.688
FLEX,Mo,3.0,0.562
OBJECTIVE,Charles,4.5,0.562
,,32.5,6.862

QUEEN,Mitch,6.0,1.65
SPEED,Matt,9.0,2.025
FLEX,Sam,7.0,1.312
FLEX,Ryan,8.0,1.5
OBJECTIVE,Bri,3.0,0.375
,,33.0,6.862

QUEEN,Jess,7.0,1.925
SPEED,Brian M,7.0,1.575
FLEX,Soren,9.0,1.688
FLEX,Rebecca,3.0,0.562
OBJECTIVE,Abby,6.0,0.75
,,32.0,6.5

