QUEEN,Dan,5.5,1.513
SPEED,Dray,8.5,1.913
FLEX,Noah,1.0,0.188
,,,
OBJECTIVE,Coki,5.0,0.625
,,20.0,4.239

QUEEN,Matt,7.0,1.925
SPEED,Sam,6.0,1.35
FLEX,Charles,4.0,0.75
FLEX,Blue Chris,8.0,1.5
OBJECTIVE,Chexx,2.0,0.25
,,27.0,5.775

QUEEN,Chaz,5.0,1.375
SPEED,Josh,9.0,2.025
FLEX,Steve,9.0,1.688
FLEX,Parker,2.0,0.375
OBJECTIVE,Eva,2.0,0.25
,,27.0,5.713

QUEEN,Mitch,7.0,1.925
SPEED,Blee,8.0,1.8
FLEX,Mando,1.0,0.188
FLEX,Felix,7.0,1.312
OBJECTIVE,Mo,5.0,0.625
,,28.0,5.85

QUEEN,MasterJoe,7.0,1.925
SPEED,Jess,6.0,1.35
FLEX,Turese,3.5,0.656
FLEX,Drew,6.0,1.125
OBJECTIVE,Jasmine,8.0,1.0
,,30.5,6.056

