QUEEN,Drew,6.0,1.65
SPEED,Josh,9.0,2.025
FLEX,Keoni,4.0,0.75
,,,
OBJECTIVE,Malav,3.0,0.375
,,22.0,4.8

QUEEN,Jess,7.0,1.925
SPEED,Scott,7.0,1.575
FLEX,Sam,7.0,1.312
FLEX,Mo,3.0,0.562
OBJECTIVE,Coki,5.0,0.625
,,29.0,5.999

QUEEN,Ryan,6.0,1.65
SPEED,Felix,7.0,1.575
FLEX,Turese,3.5,0.656
FLEX,Mitch,6.0,1.125
OBJECTIVE,Charles,5.0,0.625
,,27.5,5.631

QUEEN,Chaz,7.0,1.925
SPEED,Blue Chris,8.0,1.8
FLEX,Kendra,3.0,0.562
FLEX,Dray,8.5,1.594
OBJECTIVE,Eva,1.0,0.125
,,27.5,6.006

QUEEN,Matt,7.0,1.925
SPEED,Brian M,7.0,1.575
FLEX,Jasmine,4.0,0.75
FLEX,Blee,8.0,1.5
OBJECTIVE,Bryce,3.0,0.375
,,29.0,6.125

